0,what yall think about this topic lets start a thread below and for more frequent uploads check out my second channel gen+
1,live laugh love bestie
2,we should focus more on a|ready born children weve been kinda neg|ecting those
3,this
4,if were all for equality and opportunity and prochoice isnt abortion taking away that opportunity and choice from the unborn baby and if that makes you feel like that takes away your choice to have an abortion i understand but the thing is you already chose <number> months ago when you had sex
5,doesnt the legal system require a document proving citizenship ie birth certificate so when does a baby become a human at conception or separation from the mothers body if we want to consider the fetus as a life shouldnt we change the legal system to reflect that or at least debate on when a human life begins legally
6,the legal system does to some degree murderingkilling a pregnant woman is considered a double homicide
7,i looove when people say you dont get to terminate your pregnancy because you were irresponsible yet there are wayyy more people who got pregnant while using protection me included no one thinks getting an abortion is fun especially when you want to do it as soon as you realize youre pregnant to be as responsible as possible for your prevention failing yet have people acting like youre aborting a <number> month old fetus for fun
8,only when the pregnant woman wants to keep the baby and isnt planning for an abortion i assume dont think they make it count when a woman is like a month pregnant and has an abortion scheduled
9,i dont the law in too much detail unfortunately my only criticism to your thought in my opinion it would still count as double homicide if someone plans to kill someone else and a third person kills both the target and the person who planned to kill the other person the actual killer would still have killed the two people i dont know if thats how the law actually works i think it would be stupid if it didnt work that way
10,abortion waste resources like future labor and production for a nation
11,vilifying the opposition is a lazy cop out to avoid conversation and critical thought and thats a subscribe right there
12,same
13,yes thats exactly what happened here
14,absolute w
15,sometimes sides are advocating legitimately villainous behavior or no that never happens
16,what
17,but sometimes boiling it down to sides discourages actual conversation meant to find truth you can definitely call out people that are exhibiting villainous behaviors but you cant group in everyone else who might have a similar belief or who are on the same side
18,love your style not arguing and keeping it without a bias something the government seems to need a lot more lol
19,but you do realise murder is different from theft and pleasure both murder and theft are punishable and cant be normalised so for someone to think its ok to abort a baby is wrong and for someone to fornicate is also wrong abortion is wrong unless its at the expense of the mothers life
20,your the exact reason this world has a problem when somone says something even if its not what you disagree with you need to state your opinion without seeing the other side
21,bro where did i disagree with someone
22,eh abortion is ok if there is a way to make it a painless experience for the fetus my stance comes from consequentialism a baby that no one wants willingly being aborted by its own mother wont affect society in any way shape or form that way there is no stale mate with opinions
23,there is bias when he mocks the religious guy
24,eh i mean if the father wants to raise the kid then let the father have em if neither want to raise the kid then abort if its at the expense of mother life abort
25,the world needs your videos in my opinion we just need a way to make em see them
26,best comment ive seen yet thanks for watching and supporting
27,no it doesnt he brings people who dehumanise me and believe that i shouldnt have my basic human rights and im supposed to be kind to them and listen to their point of view bore off
28,well if thats what you belief good for you in my opinion in this video he objectivly gives everyone the right to speak their mind voice their opinion by having different views on the topic in the video he makes room for a conversation to be held about it without neglecting one side that is what i think the world needs
29,he addressed it in the video but being close minded is something that slows the process of understanding and finding some middle ground with the other side
30,the next video should be should men have the right to optout of parenthood before the baby is born i bet most women will say no
31,keep up the great content your documentaries are awsome
32,proboth made me laugh hard
33,i am proboth
34,how in ur opinion should abortions be allowed or not
35,i have listen to both conversations of the pro life and pro choice and i understand and agree with both and i cant really choose a side bc of that
36,im pro both from a philosophical standpoint you should choose what you want to do with your own body but on the contrary even if the baby is a clump of cells it cannot decide whether to live or not and the mother is making this decision on her behalf fetuses should also have the right to life as well imo
